Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py
651,"VaishnaviMulti-
 SpecialityDental
 and Implant Clinic
 ","609,FirstFloor,Sector-5,
 Vaishali, Ghaziabad-201010.",,,,India,,,,,,28.6460952,77.3490017,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"VaishnaviMulti-
 SpecialityDental
 and Implant Clinic
 , 609,FirstFloor,Sector-5,
 Vaishali, Ghaziabad-201010., , ",28.642684,77.3453639,201012,"Hindon Elevated Road, Vasundhara, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201012, India"
652,"Chandra Laxmi
 Hospital","Plot No. 336,337,338 and 340 Kali Mandir, Yashoda Marg, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh",201010,,,India,,,,,,28.6461373,77.3400357,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 surgery,Endoscopic/
 Laparoscopicprocedures,
 Gynecology&Obstetrics,
 Orthopedicsurgery,
 Neurology,Nephrology
 (IncludingDialysis),
 Gastroenterology,
 Neurosurgery,Paediatrics,
 Urology,Dental,Eye,ENT
 and Diagnostics.",,CGHS_hospitals,1,,28.64613,77.34003,"Chandra Laxmi
 Hospital, Plot No. 336,337,338 and 340 Kali Mandir, Yashoda Marg, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh, , 201010",28.6452856,77.3385952,201010,"Vaishali Sector 4, Vaishali, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
653,"Paras Hospital
 
 ","Plot No, 130, Kaling Marg, GDA Market, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh",201010,,,India,,,,,,28.6462755,77.3437105,ROOFTOP,Non-NABH,"GeneralMedicine,General
 Surgery,Gynecologyand
 Obst,Orthopedic,Eye,ENT,
 Endoscopic/Laparoscopic
 Surgery,Gastroenterology,
 Neurology,Pulmonology,
 Urology,nephrology,Dental
 and Diagnostics.",,CGHS_hospitals,1,,28.6462755,77.3437105,"Paras Hospital
 
 , Plot No, 130, Kaling Marg, GDA Market, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh, , 201010",28.6463833,77.3435869,201010,"Vaishali Sector 4, Vaishali, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
654,"Advance
 Diagnostic
 Centre","67, Hargobind Enclave, New Delhi, 
 110092",,,,India,,,,,,28.6463103,77.3002354,ROOFTOP,"NABH
 Accredited","X-ray, CT Scan, USG, Colour
 Doppler, ECHO, OPG.",,CGHS_hospitals,0,,,,"Advance
 Diagnostic
 Centre, 67, Hargobind Enclave, Delhi-
 110092.",28.64649,77.300223,110092,"Karkarduma, Karkardooma Institutional Area, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
655,Tewari Eye Centre,"SHOP.NO: 699, Sahyog Ln, near MOHAN DHABA, Sector 5, Vaishali, Ghaziabad, Uttar Pradesh",201010,,,India,,,,,,28.6463268,77.3471028,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.6463268,77.3471028,"Tewari Eye Centre, SHOP.NO: 699, Sahyog Ln, near MOHAN DHABA, Sector 5, Vaishali, Ghaziabad, Uttar Pradesh, , 201010",28.6463268,77.3471028,201001,"Tewari Eye Centre, Vaishali, Hindon Elevated Road, Vasundhara, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201001, India"
656,"Sehgal Dental
 Clinic","CA-115/1, Opp. Shopping
 Centre, Tagore Garden, New
 Delhi - 110027. Tel.No. 011-
 25423227, 9654654555.",,,,India,,,,,,28.6464079,77.1129385,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Sehgal Dental
 Clinic, CA-115/1, Opp. Shopping
 Centre, Tagore Garden, New
 Delhi - 110027. Tel.No. 011-
 25423227, 9654654555., , ",28.648876,77.1096829,110027,"Tagore Garden, Rajouri Garden Tehsil, West Delhi District, Delhi, 110027, India"
657,"CSMMedicentre
 EyeandDental
 Care
 ","D-31,FlatNo.2,Rajouri
 Garden,NewDelhi-110027.
 Tel.No.011-41443931,
 9871235757.",,,,India,,,,,,28.6464731,77.1169452,APPROXIMATE,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"CSMMedicentre
 EyeandDental
 Care
 , D-31,FlatNo.2,Rajouri
 Garden,NewDelhi-110027.
 Tel.No.011-41443931,
 9871235757., , ",28.63678,77.1196397,110027,"Block 4, Subash Nagar, Rajouri Garden, Rajouri Garden Tehsil, West Delhi District, Delhi, 110027, India"
658,"OMEye&Gynae
 Centre,","5/622, Sector 5, Vaishali, (Opp. Ramprastha Green Gate No. 4), {Near Mohan Dhaba},, Harshvardhan Marg, Ghaziabad, Uttar Pradesh",201010,,,India,,,,,,28.646527,77.348144,0,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.646527,77.348144,"OMEye&Gynae
 Centre,, 5/622, Sector 5, Vaishali, (Opp. Ramprastha Green Gate No. 4), {Near Mohan Dhaba},, Harshvardhan Marg, Ghaziabad, Uttar Pradesh, , 201010",28.6468139,77.3477013,201010,"Vaishali Sector 4, Vaishali, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
659,"Clinical
 Diagnostic
 Centre
 ","69,HargovindEnclave,Opp.
 RailwayReservationCentre,
 Karkardooma,Delhi.Tel.No.
 011-43076300.",,,,India,,,,,,28.646664,77.300076,ROOFTOP,"NABL
 Accredited
 /NABH
 Accredited
 w.e.f.
 27.12.2017","X-ray,Ultra-sound,Colour
 Doppler,OPG,
 ECHO,Laboratory
 Investigations and CT scan.",,CGHS_hospitals,0,,,,"Clinical
 Diagnostic
 Centre
 , 69,HargovindEnclave,Opp.
 RailwayReservationCentre,
 Karkardooma,Delhi.Tel.No.
 011-43076300., , ",28.6464402,77.3003933,110051,"Karkarduma, Hargovind Enclave, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
660,"Sardana Eye
 Institute","A -2/19, Block A2, Block A, Rajouri Garden, New Delhi, Delhi",110027,,,India,,,,,,28.6474392,77.1248625,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.647439,77.124862,"Sardana Eye
 Institute, A -2/19, Block A2, Block A, Rajouri Garden, New Delhi, Delhi, , 110027",28.6474392,77.1248625,110027,"Rajouri Garden, Patel Nagar Tehsil, West Delhi District, Delhi, 110027, India"
661,"Aarogya Hospital,
 ","Plot NH-1, Vaishali Sector - 6, Vaishali, Ghaziabad, Uttar Pradesh",201010,,,India,,,,,,28.6481834,77.3516146,GEOMETRIC_CENTER,"NABH
 Accredited
 15.05.2018","Endoscopic/ Laparoscopic
 procedures, Neurology,
 Neurosurgery,
 Gastroenterology, Nephrology,
 Urology, Orthopedics, General
 Surgery, General Medicine,
 Obstetrics and Gynecology,
 Dental, Eye, ENT, and
 Diagnostics.",,CGHS_hospitals,1,,28.648183,77.35161,"Aarogya Hospital,
 , Plot NH-1, Vaishali Sector - 6, Vaishali, Ghaziabad, Uttar Pradesh, , 201010",28.6481834,77.3516146,201010,"Aarogya Hospital, Ghaziabad, Grudwara Road, Vasundhara, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
662,"My Dentist,
 ","D-49,ShamNagar(Sheetla
 MataMandirRoad),New
 Delhi â€“ 110018.",,,,India,,,,,,28.648298,77.1033692,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"My Dentist,
 , D-49,ShamNagar(Sheetla
 MataMandirRoad),New
 Delhi â€“ 110018., , ",28.646862,77.101654,110027,"Vishnu Garden, Patel Nagar Tehsil, West Delhi District, Delhi, 110027, India"
663,Vision Eye Centre,"2, 27, W Patel Nagar Rd, Block 11, West Patel Nagar, Patel Nagar, New Delhi, Delhi",110008,,,India,,,,,,28.648354,77.1679445,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.648354,77.1679445,"Vision Eye Centre, 2, 27, W Patel Nagar Rd, Block 11, West Patel Nagar, Patel Nagar, New Delhi, Delhi, , 110008",28.6492111,77.1665491,110008,"West Patel Nagar, Patel Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110008, India"
664,"Mittal Dental
 Clinic
 ","3543, Sita Ram Bazar, Opp.
 Kucha Pati Ram, Near Chawri
 Bazar Metro Station, Delhi-6.
 Tel. No. 9350288907.",,,,India,,,,,,28.6487139,77.2275527,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Mittal Dental
 Clinic
 , 3543, Sita Ram Bazar, Opp.
 Kucha Pati Ram, Near Chawri
 Bazar Metro Station, Delhi-6.
 Tel. No. 9350288907., , ",28.648665,77.2277072,110006,"Sitaram Bazar Road, Sita Ram Bazaar, Old Delhi, Kotwali Tehsil, Central Delhi District, Delhi, 110006, India"
665,"Muskan Dental
 Care
 
 Empanelled
 w.e.f. 10.02.2015","11/26, West Patel Nagar, New
 Delhi - 110008.",,,,India,,,,,,28.6490966,77.1665753,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Muskan Dental
 Care
 
 Empanelled
 w.e.f. 10.02.2015, 11/26, West Patel Nagar, New
 Delhi - 110008., , ",28.6490966,77.1665753,110008,"West Patel Nagar, Patel Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110008, India"
666,"Dental Folks,
 ","ShopNo.12,OldMarket,
 Golchakkar,RameshNagar,
 Delhi â€“ 110015",,,,India,,,,,,28.649744,77.132059,ROOFTOP,"NABH
 Accredited","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Dental Folks,
 , ShopNo.12,OldMarket,
 Golchakkar,RameshNagar,
 Delhi â€“ 110015, , ",28.6497807,77.1322498,,"Ramesh Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, India"
667,"RLKC Hospital
 & Metro Heart
 Institute","Pandav Nagar, Naraina Road, Near Shadipur Metro Station, New Delhi, Delhi",110008,,,India,,,,,,28.6511745,77.1547547,GEOMETRIC_CENTER,"NABH/
 NABL
 Accredited","Cardiology&CardiothoracicSurgery,
 GeneralMedicine,GeneralSurgery,
 ObstetricsandGynecology,Pediatrics,
 ENT,Eye,Endoscopic/Laparoscopic
 procedures,Pulmonology,
 GastrointestinalSurgery,Orthopedic
 surgery with Joint replacement, Urology,
 Nephrology(includingDialysis),
 Neurologyandneurosurgery,Cancer
 treatment (Surgery, Chemotherapy) and
 Diagnostics.",,CGHS_hospitals,1,,28.6511745,77.1547547,"RLKC Hospital
 & Metro Heart
 Institute, Pandav Nagar, Naraina Road, Near Shadipur Metro Station, New Delhi, Delhi, , 110008",28.6511322,77.1547144,110008,"RLKC Hospital, Girdhari Lal Goswami Marg, DTC Colony, Patel Nagar, Delhi Cantonment, New Delhi District, Patel Nagar Tehsil, West Delhi District, Delhi, 110008, India"
668,"AnantJyotiEye
 Hospital
 ","432-a, Jagriti Enclave, Vikas Marg, Karkardooma Metro Station, Vikas Marg, New Delhi, Delhi",110092,,,India,,,,,,28.65134498,77.30642965,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.651344,77.3064296,"AnantJyotiEye
 Hospital
 , 432-a, Jagriti Enclave, Vikas Marg, Karkardooma Metro Station, Vikas Marg, New Delhi, Delhi, , 110092",28.6484796,77.3055855,110092,"Karkarduma Metro Station (Blue Line), Bhartendu Harish Chandra Marg, Karkarduma, Dayanand Vihar, Vivek Vihar Tehsil, Shahdara District, Delhi, 110092, India"
669,"KhannaMedicare
 Centre
 ","METRO STATION, W-6, Main Patel Rd, near SHADIPUR, opposite Metro pillar No 234, Block W, West Patel Nagar, Patel Nagar, New Delhi, Delhi",110008,,,India,,,,,,28.651292,77.159485,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.651292,77.159485,"KhannaMedicare
 Centre
 , METRO STATION, W-6, Main Patel Rd, near SHADIPUR, opposite Metro pillar No 234, Block W, West Patel Nagar, Patel Nagar, New Delhi, Delhi, , 110008",28.65162,77.15823,110008,"Shadipur, Patel Road, Guru Arjun Nagar, Patel Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110008, India"
670,"Sure Path Labs
 Pvt. Ltd.,
 ","17-A, Shivpuri, Opp. Shivpuri
 Bus Stand, Near Geeta Colony,
 14-Block,Delhi-110051.Tel.
 No. 011-22459600.",,,,India,,,,,,28.6513095,77.2783303,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Sure Path Labs
 Pvt. Ltd.,
 , 17-A, Shivpuri, Opp. Shivpuri
 Bus Stand, Near Geeta Colony,
 14-Block,Delhi-110051.Tel.
 No. 011-22459600., , ",28.6519377,77.2779732,110031,"Patparganj Road, Geeta Colony, Preet Vihar Tehsil, East Delhi District, Delhi, 110031, India"
671,"Rathi
 Hospital,
 
 ","3, Nangloi - Najafgarh Rd, near kali mata mandir, Pratap Vihar, Ranhola, New Delhi, Delhi",110041,,,India,,,,,,28.6516192,77.031645,ROOFTOP,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae.&Obst.,Orthopaedic
 (IncludingJointReplacement),
 Paediatrics,Nephrology,Dentaland
 Diagnostics.",,CGHS_hospitals,1,,28.651619,77.031645,"Rathi
 Hospital,
 
 , 3, Nangloi - Najafgarh Rd, near kali mata mandir, Pratap Vihar, Ranhola, New Delhi, Delhi, , 110041",28.6514522,77.0314866,110041,"Rathi Hospital, Najafgarh Nangloi Road, Baprola, Najafgarh, Punjabi Bagh Tehsil, West Delhi District, Delhi, 110041, India"
672,Park Hospital,"Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi",110018,,,India,,,,,,28.651782,77.093166,GEOMETRIC_CENTER,"NABH
 Accredited
 w.e.f.
 03.07.2016","InterventionalCardiology&
 CardiothoracicSurgery,Endoscopic/
 Laparoscopic procedures, Gynecology &
 Obstetrics,OrthopedicSurgery
 includingJointReplacement,General
 Medicine,Pulmonology,General
 Surgery,Neurology&Neurosurgery,
 Urology&Nephrology(Including
 Dialysis),GastroenterologyandGI
 Surgery, Paediatrics, Eye & ENT, Cancer
 treatment(Surgery,Chemotherapy&
 Radiotherapy) and Diagnostics.",,CGHS_hospitals,1,,28.651782,77.093166,"Park Hospital, Bus Depot, Meera Enclave Outer Ring Road Near Kashopur, New Chaukhandi, Vishnu Garden, New Delhi, Delhi, , 110018",28.651782,77.093166,110018,"Park Hospital Blood Bank, North West Delhi, Patel Chowk Road, Shahpura, Patel Nagar Tehsil, North West Delhi District, Delhi, 110018, India"
673,"ViblesPath
 Labs
 ","P-47,WestPatelNagar,New
 Delhi-110008.Tel.No.
 42484733",,,,India,,,,,,28.6518267,77.1644665,APPROXIMATE,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"ViblesPath
 Labs
 , P-47,WestPatelNagar,New
 Delhi-110008.Tel.No.
 42484733, , ",28.653493,77.161682,110008,"West Patel Nagar, Patel Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110008, India"
674,"J.A. Aneja
 Multispeciality
 Dental Centre
 ","283/23B, 28, Vishnu Garden
 Extn, New Delhi - 110018. Tel.
 No. 011-6999009.",,,,India,,,,,,28.6520087,77.1008595,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"J.A. Aneja
 Multispeciality
 Dental Centre
 , 283/23B, 28, Vishnu Garden
 Extn, New Delhi - 110018. Tel.
 No. 011-6999009., , ",28.652059,77.1015817,110027,"Vishnu Garden, Sham Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110027, India"
675,"Singhâ€™sDental
 Hospital","30-34 Sewak Park, Opp. Metro
 PillarNo.771,Dwarka,Main
 Nagafgarh Road, New Delhi-59.
 Ph.No.011-25336740,",,,,India,,,,,,28.65245,77.131994,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Singhâ€™sDental
 Hospital, 30-34 Sewak Park, Opp. Metro
 PillarNo.771,Dwarka,Main
 Nagafgarh Road, New Delhi-59.
 Ph.No.011-25336740,, , ",28.6150725,77.0341376,110078,"Sewak Park, Patel Nagar Tehsil, West Delhi District, Delhi, 110078, India"
676,"Purang Eye Centre
 ","114, Block A, Vishal Enclave, Rajouri Garden, New Delhi, Delhi",110027,,,India,,,,,,28.64944819,77.1187026,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.6494481,77.118702,"Purang Eye Centre
 , 114, Block A, Vishal Enclave, Rajouri Garden, New Delhi, Delhi, , 110027",28.6493634,77.1186544,110027,"Vishal Enclave, Patel Nagar Tehsil, West Delhi District, Delhi, 110027, India"
677," Clearmedi Hospital
 and Cancer Centre
","15, HC-1, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh",201012,,,India,,,,,,28.652617,77.36014,ROOFTOP,"NABH
 Accredited w.e.f.
 02.02.2018","Cardiology, General Medicine,
 Gynae&Obs.,Orthopedics
 includingjointreplacement,
 GeneralSurgery,
 Endoscopic/Laparoscopic
 procedures,Neurology&
 NeuroSurgery,
 Gastroenterology,Dental,
 Urology &Nephrology, Cancer
 treatment(surgeryand
 chemotherapy) Eye, ENT and
 Diagnostics.",,CGHS_hospitals,1,,28.652617,77.36014," Clearmedi Hospital
 and Cancer Centre
, 15, HC-1, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh, , 201012",28.6525551,77.3602129,201010,"Sector 15, Indirapuram, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
678,Ghai Hospital," 661 A&B GTB Nagar,",,Jalandhar,Punjab,India,,,,,,28.653165,77.294932,0,NABH,NABH scope ofServices,M:8146767367,CGHS_hospitals,1,Cant locate,28.653165,77.294932,"Ghai Hospital,  661 A&B GTB Nagar,, Jalandhar, ",28.653165,77.294932,144003,"Ghai Hospital,  661 A&B GTB Nagar,, Jalandhar, "
679,"Garg Hospital (
 A Unit of Garg
 Heart Centre &
 Nursing Home)","No. 8& 9, opposite Karkardooma Court, A G C R Enclave, New Delhi,",110092,,,India,,,,,,28.653165,77.294932,0,"NABH
 Accredited","GeneralMedicine,GeneralSurgery,
 ObstetricsandGynecology,Pediatrics,
 Eye,ENT,Endoscopic/Laparoscopic
 procedures, Orthopedic surgery, Urology,
 and Diagnostics.",,CGHS_hospitals,1,,28.653165,77.294932,"Garg Hospital (
 A Unit of Garg
 Heart Centre &
 Nursing Home), No. 8& 9, opposite Karkardooma Court, A G C R Enclave, New Delhi,, , 110092",28.653165,77.294932,110092,"Garg Hospital (
 A Unit of Garg
 Heart Centre &
 Nursing Home), No. 8& 9, opposite Karkardooma Court, A G C R Enclave, New Delhi,, , 110092"
680,"DelhiHeart
 Hospital
 
 ","176,JagritiEnclave,
 BhartenduHarish
 ChandraMarg,Near
 KarkardoomaMetro
 Station, Delhi-110092.",,,,India,,,,,,28.6531832,77.3086836,ROOFTOP,"NABH
 Accredited
 06.01.2020","General Medicine, Respiratory Medicine,
 Non-InterventionalCardiology,
 USG/Colour Doppler, 2D Echo, Holter,
 TMT and Laboratory Investigation.",,CGHS_hospitals,0,,,,"DelhiHeart
 Hospital
 
 , 176,JagritiEnclave,
 BhartenduHarish
 ChandraMarg,Near
 KarkardoomaMetro
 Station, Delhi-110092., , ",28.652506,77.3087952,110051,"Karkarduma, Jagriti Enclave, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
681,"YashodaHospital
 and Research Centre","IIIrd M, Nehru Nagar, Ghaziabad, Uttar Pradesh",201001,,,India,,,,,,28.6534341,77.4443807,APPROXIMATE,"NABH /NABL
 Accredited","Cardiology&Cardiothoracic
 Surgery,Endoscopic/
 Laparoscopicprocedures,
 Gynecology&Obstetrics,
 OrthopedicSurgeryincluding
 JointReplacement,General
 Medicine,Pulmonology,
 General Surgery, Neurology &
 Neurosurgery,Urology
 &Nephrology(Including
 Dialysis), Gastroenterology and
 GI Surgery, Paediatrics, Dental,
 Eye& ENT, Cancertreatment
 (Surgery & Chemotherapy) and
 Diagnostics.",,CGHS_hospitals,1,,28.6534341,77.4443807,"YashodaHospital
 and Research Centre, IIIrd M, Nehru Nagar, Ghaziabad, Uttar Pradesh, , 201001",28.6600041,77.4386074,201001,"Yashoda Hospital and Research's Blood Bank, Salek Chand Colony, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201001, India"
682,Jain Hospital,"177-178, Jagriti Enclave, Vikas Marg Ext, New Delhi, Delhi",110092,,,India,,,,,,28.65334094,77.30875491,GEOMETRIC_CENTER,"NABH
 Accredited","GeneralMedicine,Gynae&Obs.,
 Orthopedics,GeneralSurgery,
 Endoscopic/Laproscopicprocedures,
 Neurology&NeuroSurgery,
 Gastroenterology,Urology,Nephrology
 and Diagnostics.",,CGHS_hospitals,1,,28.6533,77.3087549,"Jain Hospital, 177-178, Jagriti Enclave, Vikas Marg Ext, New Delhi, Delhi, , 110092",28.6525081,77.3087929,110051,"Karkarduma, Jagriti Enclave, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
683,"Dr.Goel'sEye
 Centre
 ","C-4, Anand Vihar, Anand Vihar, Delhi,",110092,,,India,,,,,,28.6537019,77.3092945,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.6537019,77.3092945,"Dr.Goel'sEye
 Centre
 , C-4, Anand Vihar, Anand Vihar, Delhi,, , 110092",28.6519153,77.3124518,110051,"Anand Vihar, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
684,"LifeLine
 Diagnostics
 ","C-4,AnandVihar,Delhi-
 110092. Tel. No. 011-42427475",,,,India,,,,,,28.6538468,77.3094894,GEOMETRIC_CENTER,"NABL
 /Non NABH","Laboratory Investigations
 X-ray,ECG,USG,ECHO
 TMT,ColourDoppler,
 Mammography, OPG,PFT",,CGHS_hospitals,0,,,,"LifeLine
 Diagnostics
 , C-4,AnandVihar,Delhi-
 110092. Tel. No. 011-42427475, , ",28.6519153,77.3124518,110051,"Anand Vihar, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
685,"Pushpanjali
 Medical Centre
 ","PUSHPANJALI medical center, A-14/15, Vikas Marg Ext, Pushpanjali, Karkardooma, Anand Vihar, New Delhi, Delhi",110092,,,India,,,,,,28.6539807,77.3090744,ROOFTOP,"NABH
 Accredited","Gynecology&Obstetrics,Orthopedic
 Surgery,GeneralMedicine,General
 Surgery,Paediatrics,Eye&ENTand
 Diagnostics.",,CGHS_hospitals,1,,28.6539807,77.3090744,"Pushpanjali
 Medical Centre
 , PUSHPANJALI medical center, A-14/15, Vikas Marg Ext, Pushpanjali, Karkardooma, Anand Vihar, New Delhi, Delhi, , 110092",28.6546634,77.3067006,110051,"Karkarduma, Pushpanjali Enclave, Vivek Vihar Tehsil, Shahdara District, Delhi, 110051, India"
686,"Punarjyoti Eye &
 Mother Care Center","Duplex-1, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh",201012,,,India,,,,,,28.6542047,77.3579185,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.6542047,77.3579185,"Punarjyoti Eye &
 Mother Care Center, Duplex-1, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh, , 201012",28.6540778,77.3579434,201010,"Sector 15, Sahibabad Industrial Area, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201010, India"
687,"Dr.LalPathlabs
 Pvt.","GroundFloor,PlotNo.20,Sector-
 15C,NearSBI,Vasundhara,
 Ghaziabad.",,,,India,,,,,,28.6551648,77.3596076,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.LalPathlabs
 Pvt., GroundFloor,PlotNo.20,Sector-
 15C,NearSBI,Vasundhara,
 Ghaziabad., , ",28.6623758,77.37344,201012,"Vasundhara, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201012, India"
688,"Vasundhara
 Hospital","15, NH-1, Dr BR Ambedkar Rd, Near Atal Chowk, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh",201012,,,India,,,,,,28.6551679,77.3613825,ROOFTOP,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obs.,
 OrthopaedicSurgery
 (IncludingJoint
 Replacement),
 Otorhinolaryngology,
 Urology(Excludingdialysis
 and lithotripsy) and Dental.",,CGHS_hospitals,1,,28.65516,77.3613825,"Vasundhara
 Hospital, 15, NH-1, Dr BR Ambedkar Rd, Near Atal Chowk, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh, , 201012",28.6550774,77.3611995,201012,"Vasundhaa Hospital, Atal Chowk, Vasundhara, Ghaziabad, Ghaziabad District, Uttar Pradesh, 201012, India"
689,"Kalra Hospital
 SRCNC Pvt.
 Ltd.","Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi",110015,,,India,,,,,,28.655199,77.138548,0,"NABH w.e.f. 14.09.2020 NABL w.e.f. 15.10.2020
 14.09.2020
 
 NABL
 w.e.f.
 15.10.2020","InterventionalCardiology&
 Cardiothoracic&Cardiovascular
 Surgery,Gynecology&Obstetrics,
 OrthopaedicSurgeryincludingJoint
 Replacement, General Medicine, General
 Surgery,Pulmonology,Neurosurgery,
 Urology&Nephrology(Including
 Dialysis),Gastroenterology(medical),
 Paediatrics,Eye,Dental,and
 Diagnostics.",,CGHS_hospitals,1,,28.655199,77.138548,"Kalra Hospital
 SRCNC Pvt.
 Ltd., Tulsi Dass Kalra Marg, Kirti Nagar, New Delhi, Delhi, , 110015",28.6552017,77.138551,110026,"Kirti Nagar, Patel Nagar Tehsil, West Delhi District, Delhi, 110026, India"
690,"Kalra
 Hospital,
","3A, 26-27, Sewak Park
 Extension,Opp.Metro
 Pillar No. 761, Dwarka
 Mor,UttamNagar,
 Delhi-110059.Tel.No.
 011-25355545,
 25355546",,,,India,,,,,,28.6552017,77.138551,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae. & Obs., Orthopaedic (excluding
 JointReplacement),Medical
 Gastroenterology and Diagnostic.",,CGHS_hospitals,1,cant find diffrent from sr no. 689,28.6552,77.13855,"Kalra
 Hospital,
, 3A, 26-27, Sewak Park
 Extension,Opp.Metro
 Pillar No. 761, Dwarka
 Mor,UttamNagar,
 Delhi-110059.Tel.No.
 011-25355545,
 25355546, , ",28.619501,77.033922,110059,"Dwarka Mor, Shivaji Marg, R Block, Nawada, Patel Nagar Tehsil, West Delhi District, Delhi, 110059, India"
691,"Total Diagnostics
 Care
 ","I-1KailashPark,Opp.Metro
 Pillar No. 330, Kirti Nagar, New
 Delhi-110015.Tel.No.011-
 49074841, 43",,,,India,,,,,,28.655232,77.1374952,GEOMETRIC_CENTER,"NABH
 Accredited","X-ray,OPG,USG,Colour
 Doppler,MRI,CTScan,
 Mammography and Laboratory
 Investigation",,CGHS_hospitals,0,,,,"Total Diagnostics
 Care
 , I-1KailashPark,Opp.Metro
 Pillar No. 330, Kirti Nagar, New
 Delhi-110015.Tel.No.011-
 49074841, 43, , ",28.6393957,77.1337989,110015,"Satguru Ram Singh Marg, Kirti Nagar, Delhi Cantonment, New Delhi District, Patel Nagar Tehsil, West Delhi District, Delhi, 110015, India"
