Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude
799,"Bhagwan
 Mahavir
 Hospital
 
 
 
 ","Sector-14,Extension
 NearMadhuban
 Chowk,Rohini,Delhi-
.",110085,,,India,,,,,,28.7061945,77.1290122,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae.&Obs.,OrthopaedicSurgery
 (excludingJointReplacement),
 Respiratory Medicine, Cardiology (only
 Non-interventional)Medical
 Gastroenterology,Nephrology,
 Neurology,Neurosurgery,Oncology,
 Urology(excludingdialysisand
 lithotripsy)Eye,ENT,Dentaland
 Diagnostics.",,CGHS_hospitals,1,Geo location same as 799,28.70619,77.12901,"Bhagwan
 Mahavir
 Hospital
 
 
 
 , Sector-14,Extension
 NearMadhuban
 Chowk,Rohini,Delhi-
., , 110085",28.7057675,77.1293968
800,Khanna Eye Centre,"A2, 2, Block A 2, Model Town Phase I, Model Town, Delhi,",110009,,,India,,,,,,28.7061965,77.1953008,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.706196,77.1953008,"Khanna Eye Centre, A2, 2, Block A 2, Model Town Phase I, Model Town, Delhi,, , 110009",28.7061965,77.1953008
801,"
 Gagan
 Pathology&
 ImagingPvt.
 Ltd.","H.No.22-21, Pocket F26, Sector-
 7,NearAyodhyaChowk,
 Rohini, Delhi.",,,,India,,,,,,28.7062997,77.1109208,ROOFTOP,"NABL /
 NABH
 Accredited/","MRI,CTscan,Dexa-scan,
 OPG,Mammography,EEG,
 NCV,BERA,PFT,ECG,
 ECHO,TMT,X-ray,
 Ultrasound,ColourDoppler
 and Laboratory investigations.",,CGHS_hospitals,0,,,,"
 Gagan
 Pathology&
 ImagingPvt.
 Ltd., H.No.22-21, Pocket F26, Sector-
 7,NearAyodhyaChowk,
 Rohini, Delhi., , ",28.7067574,77.112083
802,"MahajanEye
 Centre","AD Block, 21A, Outer Ring Road, Pitam Pura, Delhi,",110034,,,India,,,,,,28.707504,77.1346788,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.707504,77.1346,"MahajanEye
 Centre, AD Block, 21A, Outer Ring Road, Pitam Pura, Delhi,, , 110034",28.7075245,77.1347063
803,"Yogesh Eye Centre,","B-5/15, Opposite - Mother Divine Public School, Sector-4, Rohini, Delhi",110085,,,India,,,,,,28.7077033,77.1030526,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.7077033,77.103,"Yogesh Eye Centre,, B-5/15, Opposite - Mother Divine Public School, Sector-4, Rohini, Delhi, , 110085",28.7077033,77.1030526
804,"Dr.Gyan's
 Dental Speciality
 Clinic,","F-25/98,Sector-7,Rohini,
 Delhi - 110085.",,,,India,,,,,,28.7077419,77.1179371,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Dr.Gyan's
 Dental Speciality
 Clinic,, F-25/98,Sector-7,Rohini,
 Delhi - 110085., , ",28.7071849,77.1104912
805,"DRS Northex Eye
 Institute Pvt. Ltd.
","C-9/34, First Floor, Sector-7, Rohini, 402, near Sai Baba Chowk, opp. Metro Pillar Number 420, Delhi,",110085,,,India,,,,,,28.7096754,77.12247453,APPROXIMATE,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.70967,77.1224,"DRS Northex Eye
 Institute Pvt. Ltd.
, C-9/34, First Floor, Sector-7, Rohini, 402, near Sai Baba Chowk, opp. Metro Pillar Number 420, Delhi,, , 110085",28.712726,77.1185825
806,"S.R.Advance
 Dental Clinic
 ","H.No.30, Pocket D-8, Sector-
 06,Rohini,NewDelhi-
 110085.",,,,India,,,,,,28.7081677,77.1082638,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"S.R.Advance
 Dental Clinic
 , H.No.30, Pocket D-8, Sector-
 06,Rohini,NewDelhi-
 110085., , ",28.534264,77.273285
807,Vision Eye Hospital,"Pocket 24, 136, Sector 6/7 Dividing Rd, Pocket 1, Sector 7, Rohini, Delhi,",110085,,,India,,,,,,28.70746168,77.11039369,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.70746,77.11039,"Vision Eye Hospital, Pocket 24, 136, Sector 6/7 Dividing Rd, Pocket 1, Sector 7, Rohini, Delhi,, , 110085",28.7074629,77.1103983
808,"ChopraEye
 Hospital","C8-3, Kadambari Rd, Pocket 8, Sector 7C, Rohini, Delhi,",110085,,,India,,,,,,28.7082576,77.1242886,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.7082576,77.1242886,"ChopraEye
 Hospital, C8-3, Kadambari Rd, Pocket 8, Sector 7C, Rohini, Delhi,, , 110085",28.7082576,77.1242886
809,Eye-Q Super Speciality Eye Hospitals,"AE-195, Shaheed Udham Singh Marg, AE Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi,",110088,,,India,,,,,,28.7076947,77.16557366,GEOMETRIC_CENTER,NON NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.707694,77.16557,"Eye-Q Super Speciality Eye Hospitals, AE-195, Shaheed Udham Singh Marg, AE Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi,, , 110088",28.707637,77.165619
810,"KapilDental
 Clinic & Implant
 Center
 ","A-1/681,Sector-6,Rohini,
 Delhi-110085.Tel.No.
 9811733823",,,,India,,,,,,28.7086921,77.1114195,ROOFTOP,"NABH
 Accredited w.e.f.
 21.09.2020","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"KapilDental
 Clinic & Implant
 Center
 , A-1/681,Sector-6,Rohini,
 Delhi-110085.Tel.No.
 9811733823, , ",28.7086933,77.1114205
811,Brij Medical CENTRE,"KK 54, Rahim Marg, K Block, Kavi Nagar, Ghaziabad, Uttar Pradesh",201002,,,India,,,,,,28.66894243,77.45444703,APPROXIMATE,"NABH
 Accredited w.e.f.
 02.02.2018","GeneralMedicine,General
 surgery,Endoscopic/
 Laparoscopicprocedures,
 Gynecology&Obstetrics,
 Orthopedicsurgery,
 Neurology,Nephrology
 (IncludingDialysis),
 Gastroenterology,
 Neurosurgery,Paediatrics,
 Urology,Dental,Eye,ENT
 and Diagnostics.",,CGHS_hospitals,1,,28.66894,77.45444,"Brij Medical CENTRE, KK 54, Rahim Marg, K Block, Kavi Nagar, Ghaziabad, Uttar Pradesh, , 201002",28.6689779,77.4543729
812,"Fortis
 Healthcare Ltd.
 
 
","AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi,",110088,,,India,,,,,,28.7095568,77.169913,ROOFTOP,"NABH /
 NABL
 Accredited","GeneralMedicine,GeneralSurgery,
 Cardiology,CardiothoracicSurgery,
 Gynaecology&Obstetheics
 Gastroenterology,Nephrology,
 Neurology,Neurosurgery,Neonatology,
 Dialysis,Endocrinology,Pediatrics,
 Rheumatology,RenalTransplant,ENT,
 Eye, Orthopedic Surgery including Joint
 replacement,NuclearMedicine,
 RespiratoryMedicine,Urology,BMT,
 MedicalandSurgicalOncology&
 Radiotherapyand Diagnostics.",,CGHS_hospitals,1,,28.7095568,77.169913,"Fortis
 Healthcare Ltd.
 
 
, AA-299, Shaheed Udham Singh Marg, AA Block, Poorbi Shalimar Bag, Shalimar Bagh, Delhi,, , 110088",28.709506,77.1687416
813,"Shanti Dentals,
 ","A-12,1stFloor,Prashant
 Vihar, Rohini, Delhi-110085",,,,India,,,,,,28.709777,77.134806,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Shanti Dentals,
 , A-12,1stFloor,Prashant
 Vihar, Rohini, Delhi-110085, , ",28.709771,77.1348292
814,"AhujaLaserEye
 Centre","212, Parmanand Colony W, West Mukherjee Nagar, West Bhai Parmanand Colony, G T B Nagar, Mukherjee Nagar, Delhi,",110009,,,India,,,,,,28.70905153,77.20143467,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.70905,77.20143467,"AhujaLaserEye
 Centre, 212, Parmanand Colony W, West Mukherjee Nagar, West Bhai Parmanand Colony, G T B Nagar, Mukherjee Nagar, Delhi,, , 110009",28.7090667,77.2013005
815,"Sai Mobident
 Dental Centre","D-14/231, Metro Pillar No.411,
 Sec-7, Rohini, New Delhi. Tel.
 No.9313603596",,,,India,,,,,,28.7110498,77.1203361,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Sai Mobident
 Dental Centre, D-14/231, Metro Pillar No.411,
 Sec-7, Rohini, New Delhi. Tel.
 No.9313603596, , ",28.5694347,77.1726703
816,"DentalCare
 Clinic
 ","PD-1,/1B,PitamPura,New
 Delhi-110088.
 Tel.No.011-27311808,
 9810131331.",,,,India,,,,,,28.7122105,77.1590304,APPROXIMATE,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"DentalCare
 Clinic
 , PD-1,/1B,PitamPura,New
 Delhi-110088.
 Tel.No.011-27311808,
 9810131331., , ",28.6960259,77.1461645
817,"Brahm Shakti
 Hospital","No.U, 1/78, Kanjhawala Rd, Pocket C, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi",110086,,,India,,,,,,28.7123705,77.0812466,ROOFTOP,Non-NABH,"General Medicine, General Surgery, OBS
 &Gynae,Paediatrics,Eye,ENT,
 Endoscopic/laparoscopicprocedures,
 Orthopedics,Dental,Cardiology,
 Urology, Nephrology including Dialysis,
 Neurology,NeuroSurgery,
 Gastroenterology and Diagnostics.","
 Tel.No. 011- 27531683",CGHS_hospitals,1,,28.7123705,77.0812466,"Brahm Shakti
 Hospital, No.U, 1/78, Kanjhawala Rd, Pocket C, Budh Vihar Phase I, Budh Vihar, New Delhi, Delhi, , 110086",28.7123705,77.0812466
818,"VasanEyeCare
 Hospital ","E16, opposite HSBC Bank, Greater Kailash-1, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.54867075,77.24123612,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.54867,77.241236,"VasanEyeCare
 Hospital , E16, opposite HSBC Bank, Greater Kailash-1, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi, , 110048",28.550442,77.2333323
819,"R.V.S. Eye Centre
 
 
 ","BFH-09, Monday Market Road, West Shalimar Bagh, opposite to Mount Abu Senior Secondary School, Delhi,",110088,,,India,,,,,,28.7125626,77.1551287,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.7125626,77.1551287,"R.V.S. Eye Centre
 
 
 , BFH-09, Monday Market Road, West Shalimar Bagh, opposite to Mount Abu Senior Secondary School, Delhi,, , 110088",28.7126717,77.155643
820,"LeelaDental
 Clinic","B-39, Main Road, Majlis Park,
 Delhi.Tel.No.011-
 27678182/83. 9811503415.",,,,India,,,,,,28.7155481,77.1763946,GEOMETRIC_CENTER,"NABH
 Accredited w.e.f.
 19.07.2018","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"LeelaDental
 Clinic, B-39, Main Road, Majlis Park,
 Delhi.Tel.No.011-
 27678182/83. 9811503415., , ",28.7155851,77.1763873
821,Save Sight Centre,"A-14, GT Karnal Rd, Indira Nagar, Adarsh Nagar, Delhi,",110033,,,India,,,,,,28.7170668,77.1706376,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.7170668,77.1706376,"Save Sight Centre, A-14, GT Karnal Rd, Indira Nagar, Adarsh Nagar, Delhi,, , 110033",28.7170668,77.1706376
822,"Dr.Samir's
 Ganga
 Diagnostic&
 ImagingCentre
 Pvt. Ltd.,
 ","C-31A,GroundFloor,Rajan
 BabuRoad,AdarshNagar,
 Delhi-110033.Tel.No.011-
 27670092.",,,,India,,,,,,28.7197337,77.1740634,ROOFTOP,"NABH
 Accredited","X-ray, USG, CT Scan, Colour
 Doppler,",,CGHS_hospitals,0,,,,"Dr.Samir's
 Ganga
 Diagnostic&
 ImagingCentre
 Pvt. Ltd.,
 , C-31A,GroundFloor,Rajan
 BabuRoad,AdarshNagar,
 Delhi-110033.Tel.No.011-
 27670092., , ",28.7192605,77.1735981
823,"BansalGlobal
 Hospital","C-10, near Jahangirpuri Metro Station, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi,",110033,,,India,,,,,,28.727312,77.162415,ROOFTOP,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae. & Obst., Orthopaedic (Excluding
 Joint Replacement), Eye and Diagnostics.",,CGHS_hospitals,1,,28.727312,77.162415,"BansalGlobal
 Hospital, C-10, near Jahangirpuri Metro Station, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi,, , 110033",28.7273111,77.1623915
824,"Ishan Hospital
 
 ","Plot No.1, Pocket, 8B, Dr MC Davar Marg, Sector 19, Rohini, New Delhi, Delhi",110089,,,India,,,,,,28.73353,77.1396702,ROOFTOP,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae. & Obs., Orthopaedic Surgery
 (excludingJointReplacement),
 RespiratoryMedicine,
 Otorhinolaryngology,Urology
 (excludingdialysisandlithotripsy),
 Eye, and Diagnostic.",,CGHS_hospitals,1,,28.73353,77.1396702,"Ishan Hospital
 
 , Plot No.1, Pocket, 8B, Dr MC Davar Marg, Sector 19, Rohini, New Delhi, Delhi, , 110089",28.73353,77.1396702
825,"SarojMedical
 Institute
 
 
 
 ","Sector 19, Rohini, Delhi,",110089,,,India,,,,,,28.733959,77.139063,0,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae.&Obs.,OrthopaedicSurgery
 (includingJointReplacement),
 Cardiology,RespiratoryMedicine,
 Medical Gastroenterology, Nephrology,
 Neurology, Oncology (Medical), Urology
 (includingdialysisandlithotripsy),
 Eye,ENT, Dental and Diagnostics.",,CGHS_hospitals,1,,28.733959,77.139063,"SarojMedical
 Institute
 
 
 
 , Sector 19, Rohini, Delhi,, , 110089",28.7340704,77.1390816
826,"Savitri Hospital
 
 ","Kanjhawala Rd, Uday Vihar Colony, Karala, Delhi,",110081,,,India,,,,,,28.735325,77.0127185,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Pediatrics, Gynae & Obs., Orthopedics,
 Dental, ENT and Diagnostics.",,CGHS_hospitals,1,,28.735325,77.0127185,"Savitri Hospital
 
 , Kanjhawala Rd, Uday Vihar Colony, Karala, Delhi,, , 110081",28.7353248,77.0127444
827,"Dr.LalPath
 Labs","Block-E, Sector-18, Rohini,
 New Delhi.",,,,India,,,,,,28.7388534,77.1364103,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.LalPath
 Labs, Block-E, Sector-18, Rohini,
 New Delhi., , ",28.7392911,77.137371
828,"Arihant Eye Centre
 
 ","Main Road, Sant Nagar Marg, Sant Nagar, Burari, Delhi,",110084,,,India,,,,,,28.745222,77.198269,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.745222,77.198269,"Arihant Eye Centre
 
 , Main Road, Sant Nagar Marg, Sant Nagar, Burari, Delhi,, , 110084",28.7072108,77.205069
829,"Gupta
 Multispeciality
 Hospital
 ","Dhandhu Ram Market, Near Main Bus Stand, Vijay Colony, Vijay Nagar, Bawana, Delhi,",110039,,,India,,,,,,28.798862,77.036484,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae. & Obs., Orthopaedic (including
 Joint Replacement), ENT and Eye.",,CGHS_hospitals,1,,28.798862,77.036484,"Gupta
 Multispeciality
 Hospital
 , Dhandhu Ram Market, Near Main Bus Stand, Vijay Colony, Vijay Nagar, Bawana, Delhi,, , 110039",28.7995544,77.0354584
830,"Param Nethralaya
 ","132, First Floor, Main, Auchandi Bawana Rd, Delhi,",110039,,,India,,,,,,28.8011314,77.0347084,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.8011314,77.0347084,"Param Nethralaya
 , 132, First Floor, Main, Auchandi Bawana Rd, Delhi,, , 110039",28.8011314,77.0347084
831,"Siwach Dental
 Hospital","132, Auchandi Road, Bawana,
 Delhi-110039. Tel. No.
 9811509337,",,,,India,,,,,,28.801379,77.034399,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Siwach Dental
 Hospital, 132, Auchandi Road, Bawana,
 Delhi-110039. Tel. No.
 9811509337,, , ",28.8011994,77.0347129
832,"Mangalam
 Medical and
 Surgical Centre","154, 81, Bawana Rd, Asthal Colony, Puth Khurd Village, Delhi,",110039,,,India,,,,,,28.80032111,77.03593888,ROOFTOP,"NABH
 Accredited
 02.03.2020/
 Non-NABL","GeneralMedicine,GeneralSurgery,
 GynecologyandObst,Paediatrics,
 Orthopedicsurgery(includingJoint
 Replacement),ENT,Laparoscopic
 Surgery, Dental and Diagnostics.",,CGHS_hospitals,1,,28.80032,77.035938,"Mangalam
 Medical and
 Surgical Centre, 154, 81, Bawana Rd, Asthal Colony, Puth Khurd Village, Delhi,, , 110039",28.800363,77.0359146
833,"Febris
 Multispeciality
 Hospital","Plot No: 20, Sector-A7, Narela, New Delhi, Delhi",110040,,,India,,,,,,28.8431455,77.101444,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae. & Obs., Orthopaedic (including
 JointReplacement),
 Otorhinolaryngology,Respiratory
 Medicine,Cardiology,Medical&
 SurgicalGastroenterology,
 Rheumatology,SurgicalOncology,
 Neonatology,Nephrology,Neurology,
 Neurosurgery,Urology(including
 dialysis and lithotripsy) Eye.",,CGHS_hospitals,1,,28.8431455,77.101444,"Febris
 Multispeciality
 Hospital, Plot No: 20, Sector-A7, Narela, New Delhi, Delhi, , 110040",28.8431455,77.101444
834,"Smt.Kaushlya
 JainMemorial
 Healthcare
 Centre
 ","2367-T, Near Axis Bank,
 Bawana Road, Narela, Delhi-
 110040.",,,,India,,,,,,28.844444,77.0892469,GEOMETRIC_CENTER,Non-NABH,"X-ray, USG and Laboratory
 Investigations.",,CGHS_hospitals,0,,,,"Smt.Kaushlya
 JainMemorial
 Healthcare
 Centre
 , 2367-T, Near Axis Bank,
 Bawana Road, Narela, Delhi-
 110040., , ",28.793229,77.0483355
835,"Balaji Dental
 Care","2065/A, Old Anaj Mandi,
 Narela, Delhi.",,,,India,,,,,,28.8454067,77.0885325,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Balaji Dental
 Care, 2065/A, Old Anaj Mandi,
 Narela, Delhi., , ",28.8454067,77.0885325
836,"Maharaja
 Agarsain Multi
 Speciality
 Hospital","Bawana Road, Swatantra Nagar, Narela, New Delhi, Delhi",110040,,,India,,,,,,28.83690101,77.07913209,ROOFTOP,Non-NABH,"GeneralMedicine,GeneralSurgery,
 Gynae.&Obst.,Orthopaedic
 (IncludingJointReplacement),
 Paediatrics,Psychiatry,Respiratory
 Medicine,Cardiology,
 Gastroenterology(Medical),
 Nephrology,Neurology,Plastic
 Surgery, Urology (including Dialysis &
 Lithotripsy),Dental,Eye,ENTand
 Diagnostics",,CGHS_hospitals,1,,28.836901,77.079132,"Maharaja
 Agarsain Multi
 Speciality
 Hospital, Bawana Road, Swatantra Nagar, Narela, New Delhi, Delhi, , 110040",28.8215276,77.066219
837,"ShriBhagwan
 Diagnostic&
 ImagingCentre
 Pvt. Ltd.","2116,BawanaRoad,Narela,
 Delhi-110040.Tel.No.011-
 27281222.",,,,India,,,,,,28.8483272,77.0876884,GEOMETRIC_CENTER,"NABH/
 NABL
 Accredited","X-ray, CT Scan, USG, Colour
 Doppler, MRI, Mammography,
 DEXA,OPG,ECG,ECHO,
 TMT,EEG,NCVand
 Laboratory Investigations",,CGHS_hospitals,0,,,,"ShriBhagwan
 Diagnostic&
 ImagingCentre
 Pvt. Ltd., 2116,BawanaRoad,Narela,
 Delhi-110040.Tel.No.011-
 27281222., , ",28.8483762,77.0878656
838,"Drishti The Vision
 anAdvancedEye
 Care Centre
 ","47B, Ground Floor, Pana Udyan, Narela, Near MCD Building, opp. Police Station, Narela, New Delhi, Delhi",110040,,,India,,,,,,28.8526144,77.0887148,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.8526144,77.0887148,"Drishti The Vision
 anAdvancedEye
 Care Centre
 , 47B, Ground Floor, Pana Udyan, Narela, Near MCD Building, opp. Police Station, Narela, New Delhi, Delhi, , 110040",28.5426474,77.256025
839,"Anand Hospital & Eye
Centre","A-1, Damodor Colony, Garh Road, Near Medical College, Meerut, Uttar Pradesh",250002,Jaipur,Rajasthan,India,,,,,,28.9616085,77.7459573,GEOMETRIC_CENTER,"NON-NABH
NON-NABL",EXCLUSIVE EYE HOSPITAL,"9829051678, DR. SONU GOEL, 9829051678",CGHS_hospitals,1,,28.9616085,77.7459573,"Anand Hospital & Eye
Centre, A-1, Damodor Colony, Garh Road, Near Medical College, Meerut, Uttar Pradesh, Jaipur, 250002",28.963242,77.747354
840,"AnandHospital&
 ChhiddaSingh
 YadavTrauma
 Centre
 
 ","1100, GT Road, Lal Kuan, Ghaziabad, Uttar Pradesh",201009,,,India,,,,,,28.62906747,77.47075274,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obs.,
 OrthopaedicSurgery
 (includingJoint
 Replacement),
 Otorhinolaryngology,
 RespiratoryMedicine,
 Medical&Surgical
 Gastroenterology,
 Nephrology,Neurology,
 Neurosurgery,Neonatology,
 Urology(includingdialysis),
 Eye, Dental and Diagnostic.",,CGHS_hospitals,1,,28.62906,77.47075,"AnandHospital&
 ChhiddaSingh
 YadavTrauma
 Centre
 
 , 1100, GT Road, Lal Kuan, Ghaziabad, Uttar Pradesh, , 201009",28.6290709,77.4707742
841,"FIMSHospital
 (Frank
 Instituteof
 Medical
 Sciences)","Road, Bahalgarh, Sonipat, Haryana",131304,,,India,,,,,,28.9724891,77.0687012,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(IncludingJoint
 Replacement),Paediatrics,
 Cardiology,Gastroenterology
 (Medical&Surgical),Nephrology,
 Neurology,Neurosurgery,
 RespiratoryMedicine,Oncology
 (Medical,andSurgical),
 Rheumatology, Urology (including
 DialysisandLithotripsy),Dental,
 Eye, ENT and Diagnostics.",,CGHS_hospitals,1,,28.9724891,77.0687012,"FIMSHospital
 (Frank
 Instituteof
 Medical
 Sciences), Road, Bahalgarh, Sonipat, Haryana, , 131304",28.9726023,77.0687223
842,"Dayanand
 Hospitaland
 CriticalCare
 Centre,
 
 Empanelled
 w.e.f.
 11.06.2020","Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",131001,,,India,,,,,,28.9876433,77.006369,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(IncludingJoint
 Replacement),Paediatrics,
 RespiratoryMedicine,
 Gastroenterology(Medical&
 Surgical),Nephrology,Oncology
 (Medical&Surgical)Dental,ENT,
 Eye and Diagnostics.",,CGHS_hospitals,1,,28.9876433,77.006369,"Dayanand
 Hospitaland
 CriticalCare
 Centre,
 
 Empanelled
 w.e.f.
 11.06.2020, Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana, , 131001",28.9879623,77.0066578
843,"HaryanaMulti
 Speciality
 Hospital,
 ","Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana",131001,,,India,,,,,,28.9914163,77.032713,GEOMETRIC_CENTER,"NABH
 Accredited","General Medicine, General Surgery
 including Laparoscopic, Gynae. &
 Obst.,Orthopaedic(Including
 JointReplacement),Cardiology
 (Invasive&Non-Invasive),
 Neurosurgery,Urology,Eyeand
 Diagnostics.",,CGHS_hospitals,1,,28.9914163,77.032713,"HaryanaMulti
 Speciality
 Hospital,
 , Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana, , 131001",28.9919059,77.0325001
844,"TulipMulti
 Speciality
 HospitalPvt.
 Ltd.,
 ","T. P. Scheme, no.15, Delhi Rd, Vivekanand chowk, Sonipat, Haryana",131001,,,India,,,,,,28.9914372,77.03425209,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(IncludingJoint
 Replacement),Psychiatry,
 RespiratoryMedicine,Cardiology,
 Neurology,Neurosurgery,Urology
 (Including Dialysis and Lithotripsy)
 Eye and Diagnostics.",,CGHS_hospitals,1,,28.991437,77.03425209,"TulipMulti
 Speciality
 HospitalPvt.
 Ltd.,
 , T. P. Scheme, no.15, Delhi Rd, Vivekanand chowk, Sonipat, Haryana, , 131001",28.9946114,77.0267973
845,"BhagwanDas
 Hospital","Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana",131001,,,India,,,,,,29.0040388,77.0690811,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(IncludingJoint
 Replacement),Paediatrics,
 Cardiology, Nephrology, Urology
 (Including Dialysis and Lithotripsy)
 Eye and Diagnostics.",,CGHS_hospitals,1,,29.0040388,77.0690811,"BhagwanDas
 Hospital, Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana, , 131001",29.0040388,77.0690811
846,"HealthPlus
 Diagnostic&
 Imaging Centre","S-63, Greater Kailash, New
 Delhi - 110048. Tel.No. 011-
 41234567.",,,,India,,,,,,29.6862952,-95.5332912,ROOFTOP,Non-NABH,"MRI, CT-Scan, Ultrasound, X-
 ray,ColourDoppler,
 Mammography,Bone-
 Densitometry.",,CGHS_hospitals,0,,,,"HealthPlus
 Diagnostic&
 Imaging Centre, S-63, Greater Kailash, New
 Delhi - 110048. Tel.No. 011-
 41234567., , ",28.5483472,77.236414
847,Woodlands Hospital,"Barkatpura Rd, Opp EPF Office, Barkatpura, Kachiguda, Hyderabad, Telangana",500027,Hyderabad,Telengana,India,,,,,,17.3929825,78.49758177,APPROXIMATE,QCI,"All the facilities
 available in the
 hospital except IVF
 and other
 reproductive
 treatment procedures","Sunita Ludhani,
 9866762206",CGHS_hospitals,1,,17.3929825,78.49758177,"Woodlands Hospital, Barkatpura Rd, Opp EPF Office, Barkatpura, Kachiguda, Hyderabad, Telangana, Hyderabad, 500027",17.3929529,78.4975817
848,Himalayan Hospital,"Swami Ram Nagar, Jolly Grant, Uttarakhand 248016",,Dehradun,Uttarakhand,India,,,,,,30.1927738,78.1647423,GEOMETRIC_CENTER,NON NABH,,0135 247 1200,CGHS_hospitals,,,,,"Himalayan Hospital, Swami Ram Nagar, Jolly Grant, Uttarakhand 248016, Dehradun, ",30.3164945,78.0321918
849,Maharishi Markandeshwar Institute of  Medical of Sciences and Research,"Mullana University Road, Mullana, Haryana",133207,Ambala,Haryana,India,,,,,,30.2512693,77.0478949,GEOMETRIC_CENTER,NABH,All Available facilities,Mr Rohit Maini Mb 8059932705,CGHS_hospitals,1,,30.2512693,77.0478949,"Maharishi Markandeshwar Institute of  Medical of Sciences and Research, Mullana University Road, Mullana, Haryana, Ambala, 133207",30.266163,77.0475685
